County,FIPS,GEO_ID,CENSUS_2010_POP,"Known Unvax per 100,000",Int Travelers < 50 mi,Number Vaccine Preventable,Ratio Int Travelers,Area in square miles - Land area,Vaccine Preventable per Pop,Population Density,Number of Cases of Measles 2019,Number of Cases of Measles 2019 per Pop,Avg Cases,Latitude,Longitude
ALBANY,36001,0500000US36001,304204,8848.6781896359,398.8210386411909,62.0,131.10315401546032,522.8,20.381060078105484,581.8745218056619,0,0.0,10.190530039052742,-73.87897373333332,42.662920666666665
ALLEGANY,36003,0500000US36003,48946,9699.462673150005,104.10506777344533,1.0,212.69371914649886,1029.31,2.0430678707146654,47.55224373609506,0,0.0,1.0215339353573327,-78.00696046666667,42.2014514
BRONX,36005,0500000US36005,1385108,8187.090609540917,19282.230548637162,93.0,1392.1102577298782,42.1,6.714277875804631,32900.42755344418,1,0.07219653629897453,3.393237206051803,-73.83139331578947,40.845684473684216
BROOME,36007,0500000US36007,200600,8754.75373878365,55.4766463070803,21.0,27.65535708229327,705.77,10.468594217347956,284.2285730478768,0,0.0,5.234297108673978,-75.63664510714285,42.13320139285714
CATTARAUGUS,36009,0500000US36009,80317,10061.242327278162,216.3951752082182,6.0,269.4263670309128,1308.35,7.470398545762416,61.38800779607904,0,0.0,3.735199272881208,-78.75979857142859,42.25353742857143
CAYUGA,36011,0500000US36011,80026,8527.82845575188,337.78510104124916,2.0,422.09419568796284,691.58,2.4991877639767077,115.71474016021284,0,0.0,1.2495938819883539,-76.57597733333333,43.0959589047619
CHAUTAUQUA,36013,0500000US36013,134905,9503.943515807421,182.56932765265182,3.0,135.3317724714813,1060.23,2.2237871094473887,127.24125897210982,0,0.0,1.1118935547236943,-79.47575520930233,42.32309599999999
CHEMUNG,36015,0500000US36015,88830,8484.973544973545,73.57607807322421,11.0,82.8279613567761,407.35,12.383203872565575,218.06800049097825,0,0.0,6.191601936282788,-76.79639261111112,42.09271511111111
CHENANGO,36017,0500000US36017,50477,8769.574261544863,111.95546458334128,0.0,221.79500482069318,893.55,0.0,56.490403446925185,0,0.0,0.0,-75.54268864285713,42.367159928571425
CLINTON,36019,0500000US36019,82128,8480.191895577635,206.4864244599631,8.0,251.42025187507684,1037.85,9.74089226573154,79.13282266223443,0,0.0,4.87044613286577,-73.5671108095238,44.706683428571424
COLUMBIA,36021,0500000US36021,63096,10491.279954355268,578.0111939557884,2.0,916.0821509379174,634.71,3.169773044250032,99.40917899513163,0,0.0,1.584886522125016,-73.68923433333333,42.17566525
CORTLAND,36023,0500000US36023,49336,8748.804118696287,354.76973410719705,2.0,719.0889697324409,498.76,4.053834927841739,98.91731494105382,0,0.0,2.0269174639208694,-76.087988625,42.569199624999996
DELAWARE,36025,0500000US36025,47980,8760.583576490206,34.23962084661175,0.0,71.3622777128215,1442.44,0.0,33.26308199994454,0,0.0,0.0,-75.14095084,42.147371320000005
DUTCHESS,36027,0500000US36027,297488,9251.241394610875,381.4907658296029,24.0,128.23736279433217,795.63,8.067552304630775,373.9024420899162,0,0.0,4.033776152315387,-73.79135234615384,41.72887226923077
ERIE,36029,0500000US36029,919040,9267.567135271589,726.6220215742833,70.0,79.06315520263354,1042.69,7.616643454038997,881.4125003596466,0,0.0,3.8083217270194987,-78.92099762264151,42.79009286792452
ESSEX,36031,0500000US36031,39370,8743.860807721616,164.39683308444248,0.0,417.56879117206626,1794.23,0.0,21.942560318353834,0,0.0,0.0,-73.59029370731707,44.131727317073164
FRANKLIN,36033,0500000US36033,51599,9171.62154305316,64.52807595419728,2.0,125.05683434600918,1629.12,3.8760441093819646,31.67292771557651,0,0.0,1.9380220546909823,-74.28915176470589,44.59670170588235
FULTON,36035,0500000US36035,55531,8703.003727647621,366.91535554989605,0.0,660.7396869314366,495.47,0.0,112.07742143823036,0,0.0,0.0,-74.40886466666666,43.114428666666676
GENESEE,36037,0500000US36037,60079,8730.171940278633,1056.1534336228851,1.0,1757.941100256138,492.94,1.6644751077747633,121.87893049864081,0,0.0,0.8322375538873816,-78.24307075,43.02127733333333
GREENE,36039,0500000US36039,49221,9003.149062392069,409.7259042109574,0.0,832.4209264561009,647.16,0.0,76.0569256443538,1,2.0316531561731783,1.0158265780865892,-74.19099133333334,42.24340333333333
HAMILTON,36041,0500000US36041,4836,8293.631100082714,0.5697010070755,0.0,11.780417846887923,1717.37,0.0,2.815933666012566,0,0.0,0.0,-74.39276283333331,43.65521694444445
HERKIMER,36043,0500000US36043,64519,8613.603744633365,44.05513833279772,1.0,68.28242584788623,1411.47,1.5499310280692509,45.71050040029189,0,0.0,0.7749655140346254,-74.99216866666666,43.26495742857143
JEFFERSON,36045,0500000US36045,116229,8546.651007924012,40.18418291405829,13.0,34.57328456242271,1268.59,11.184816181847903,91.62061816662595,0,0.0,5.592408090923952,-76.14315340229885,43.997467402298845
KINGS,36047,0500000US36047,2504700,8581.8598634567,19236.67805275461,111.0,768.0232384219512,70.82,4.431668463289017,35367.12792996329,604,24.114664430869965,14.273166447079491,-73.96400912244897,40.65472104081633
LEWIS,36049,0500000US36049,27087,9277.136633809576,11.38301024767805,0.0,42.02388691135249,1274.68,0.0,21.25003922553111,0,0.0,0.0,-75.55825733333333,43.871007
LIVINGSTON,36051,0500000US36051,65393,8714.587188231157,740.2996377046143,1.0,1132.07780298291,631.76,1.529215665285275,103.50924401671521,0,0.0,0.7646078326426375,-77.77137905882353,42.718277470588234
MADISON,36053,0500000US36053,73442,8662.894529016094,301.34364807548843,1.0,410.31514402588226,654.84,1.361618692301408,112.15258689145439,0,0.0,0.680809346150704,-75.93139711538463,43.11797584615385
MONROE,36055,0500000US36055,744344,8761.210273744398,378.39937556558823,64.0,50.83662601775365,657.21,8.598175037348323,1132.58167100318,0,0.0,4.2990875186741615,-77.71243802272726,43.23880029545455
MONTGOMERY,36057,0500000US36057,50219,9602.053007825723,398.82103864119165,1.0,794.1636405368318,403.04,1.9912782014775285,124.60053592695513,0,0.0,0.9956391007387643,-74.41466340000001,42.91466593333334
NASSAU,36059,0500000US36059,1339532,8940.176643783052,19219.316056683936,107.0,1434.7784193795994,284.72,7.987864418319234,4704.734475976397,0,0.0,3.993932209159617,-73.61843917391305,40.782911478260864
NEW YORK,36061,0500000US36061,1585873,8324.516591177226,19238.4109970815,0.0,1213.1117054821855,22.83,0.0,69464.43276390714,0,0.0,0.0,-73.96727697674419,40.761450162790695
NIAGARA,36063,0500000US36063,216469,8577.592634511177,738.6253495527303,5.0,341.2153008295554,522.36,2.3097995555945654,414.4057737958496,0,0.0,1.1548997777972827,-78.79078376470588,43.21581705882353
ONEIDA,36065,0500000US36065,234878,8550.315482931566,285.2836571605896,7.0,121.46035693448923,1212.43,2.9802706085712583,193.7249985566177,0,0.0,1.4901353042856291,-75.4132256,43.159215550000006
ONONDAGA,36067,0500000US36067,467026,8730.907486949336,317.58459738991047,64.0,68.0014811573468,778.39,13.703733839229507,599.9897223756728,0,0.0,6.8518669196147535,-76.00762808421052,43.12289878947368
ONTARIO,36069,0500000US36069,107931,8649.556661200211,407.6118734081225,11.0,377.65968387962914,644.07,10.191696546867906,167.57650565932272,0,0.0,5.095848273433953,-77.29505955555555,42.82807772222222
ORANGE,36071,0500000US36071,372813,9892.287286119317,5049.804234053274,36.0,1354.5139879921767,811.69,9.656315632770315,459.3046606463058,0,0.0,4.828157816385158,-74.33565057142857,41.4112939047619
ORLEANS,36073,0500000US36073,42883,8620.21313807336,1057.9277304341736,0.0,2467.009608549247,391.26,0.0,109.60231048407708,0,0.0,0.0,-78.21971511764707,43.300927411764704
