County,FIPS,GEO_ID,"Known Unvax per 100,000",Ratio Int Travelers,Population Density,Latitude,Longitude,Is Original
ALBANY,36001,0500000US36001,8848.678189635899,131.10315401546032,581.8745218056619,-73.87897373333331,42.662920666666665,1
ALLEGANY,36003,0500000US36003,9699.462673150003,212.69371914649886,47.552243736095065,-78.00696046666667,42.201451399999996,1
BRONX,36005,0500000US36005,8187.090609540916,1392.1102577298782,32900.42755344418,-73.83139331578947,40.84568447368422,1
BROOME,36007,0500000US36007,8754.75373878365,27.655357082293268,284.2285730478768,-75.63664510714284,42.13320139285714,1
CATTARAUGUS,36009,0500000US36009,10061.242327278162,269.42636703091284,61.38800779607904,-78.75979857142859,42.25353742857143,1
CAYUGA,36011,0500000US36011,8527.82845575188,422.0941956879629,115.71474016021284,-76.57597733333333,43.09595890476189,1
CHAUTAUQUA,36013,0500000US36013,9503.94351580742,135.33177247148132,127.24125897210982,-79.47575520930233,42.32309599999999,1
CHEMUNG,36015,0500000US36015,8484.973544973545,82.8279613567761,218.06800049097825,-76.79639261111113,42.09271511111111,1
CHENANGO,36017,0500000US36017,8769.574261544863,221.79500482069318,56.49040344692519,-75.54268864285713,42.36715992857143,1
CLINTON,36019,0500000US36019,8480.191895577636,251.42025187507681,79.13282266223445,-73.5671108095238,44.706683428571424,1
COLUMBIA,36021,0500000US36021,10491.279954355268,916.0821509379173,99.40917899513164,-73.68923433333333,42.17566525,1
CORTLAND,36023,0500000US36023,8748.804118696287,719.088969732441,98.9173149410538,-76.087988625,42.569199625,1
DELAWARE,36025,0500000US36025,8760.583576490206,71.36227771282151,33.26308199994454,-75.14095084,42.14737132000001,1
DUTCHESS,36027,0500000US36027,9251.241394610877,128.23736279433217,373.9024420899162,-73.79135234615384,41.72887226923077,1
ERIE,36029,0500000US36029,9267.567135271589,79.06315520263354,881.4125003596466,-78.92099762264152,42.79009286792452,1
ESSEX,36031,0500000US36031,8743.860807721616,417.56879117206637,21.942560318353834,-73.59029370731706,44.13172731707317,1
FRANKLIN,36033,0500000US36033,9171.62154305316,125.05683434600918,31.67292771557651,-74.28915176470589,44.596701705882346,1
FULTON,36035,0500000US36035,8703.003727647621,660.7396869314366,112.07742143823036,-74.40886466666666,43.114428666666676,1
GENESEE,36037,0500000US36037,8730.171940278633,1757.941100256138,121.8789304986408,-78.24307075,43.02127733333333,1
GREENE,36039,0500000US36039,9003.149062392069,832.4209264561009,76.0569256443538,-74.19099133333334,42.24340333333333,1
HAMILTON,36041,0500000US36041,8293.631100082714,11.780417846887925,2.8159336660125667,-74.39276283333331,43.655216944444454,1
HERKIMER,36043,0500000US36043,8613.603744633365,68.28242584788623,45.71050040029189,-74.99216866666666,43.264957428571435,1
JEFFERSON,36045,0500000US36045,8546.651007924012,34.57328456242271,91.62061816662596,-76.14315340229884,43.99746740229885,1
KINGS,36047,0500000US36047,8581.8598634567,768.0232384219513,35367.12792996329,-73.96400912244897,40.65472104081633,1
LEWIS,36049,0500000US36049,9277.136633809576,42.02388691135249,21.250039225531108,-75.55825733333333,43.871007,1
LIVINGSTON,36051,0500000US36051,8714.587188231157,1132.07780298291,103.5092440167152,-77.77137905882353,42.71827747058824,1
MADISON,36053,0500000US36053,8662.894529016094,410.3151440258823,112.1525868914544,-75.93139711538463,43.117975846153854,1
MONROE,36055,0500000US36055,8761.210273744398,50.83662601775365,1132.5816710031802,-77.71243802272727,43.23880029545455,1
MONTGOMERY,36057,0500000US36057,9602.053007825723,794.1636405368318,124.60053592695513,-74.41466340000002,42.914665933333346,1
NASSAU,36059,0500000US36059,8940.176643783052,1434.7784193795997,4704.734475976397,-73.61843917391305,40.782911478260864,1
NEW YORK,36061,0500000US36061,8324.516591177227,1213.1117054821855,69464.43276390714,-73.96727697674419,40.761450162790695,1
NIAGARA,36063,0500000US36063,8577.592634511177,341.21530082955536,414.4057737958496,-78.79078376470588,43.215817058823525,1
ONEIDA,36065,0500000US36065,8550.315482931566,121.46035693448923,193.7249985566177,-75.41322559999999,43.159215550000006,1
ONONDAGA,36067,0500000US36067,8730.907486949336,68.00148115734679,599.9897223756727,-76.00762808421052,43.12289878947367,1
ONTARIO,36069,0500000US36069,8649.556661200211,377.65968387962914,167.57650565932272,-77.29505955555554,42.82807772222222,1
ORANGE,36071,0500000US36071,9892.287286119317,1354.513987992177,459.3046606463058,-74.33565057142856,41.4112939047619,1
ORLEANS,36073,0500000US36073,8620.213138073359,2467.0096085492473,109.60231048407707,-78.21971511764707,43.30092741176471,1
OSWEGO,36075,0500000US36075,8674.81512419232,241.95722087420185,128.31293017390848,-76.22331943478261,43.41873376086956,1
OTSEGO,36077,0500000US36077,8716.29643906905,77.43515411853699,62.15333932315065,-75.00942504545455,42.692903,1
PUTNAM,36079,0500000US36079,9471.322836225052,7368.951972413914,432.93821371195344,-73.63531840909091,41.437041545454534,1
QUEENS,36081,0500000US36081,8186.478234401237,856.783808600468,20553.966645167235,-73.8754525625,40.716936984375,1
RENSSELAER,36083,0500000US36083,8824.722603792283,250.19952761696317,244.36184724798062,-73.51387040909094,42.75674690909091,1
RICHMOND,36085,0500000US36085,8184.59454270049,4082.6795384191705,8030.32379647079,-74.16893402083333,40.5693983125,1
ROCKLAND,36087,0500000US36087,13253.37630379195,6132.574756707923,1795.9492941515412,-73.98817766666667,41.12815042857143,1
SARATOGA,36091,0500000US36091,9001.25132623277,181.76128089860873,271.1264475666066,-73.80224522727272,42.96444509090909,1
SCHENECTADY,36093,0500000US36093,8661.259508683035,256.4300249419906,756.5372579698807,-74.06532555555555,42.80321611111111,1
SCHOHARIE,36095,0500000US36095,9157.210907203274,1217.8113488692522,52.66636647261265,-74.41633426666667,42.591768,1
SCHUYLER,36097,0500000US36097,8095.720438314342,394.594325435978,55.86757225961685,-76.83967427272727,42.383831,1
SENECA,36099,0500000US36099,9905.531757964312,1438.5961512196236,108.89685212072534,-76.8155125,42.768632083333344,1
ST. LAWRENCE,36089,0500000US36089,8995.164546558994,10.536794446830411,41.764227460285476,-75.14372393939394,44.70351281818182,1
STEUBEN,36101,0500000US36101,8650.072734619658,97.69719346605464,71.18714762397883,-77.28078406249998,42.2386720625,1
SUFFOLK,36103,0500000US36103,9349.441992834903,883.7713445272545,1637.3554081464831,-72.6516603117647,40.965959323529404,1
SULLIVAN,36105,0500000US36105,9484.886584909798,97.64885868075821,80.09977998822474,-74.86977396,41.6458596,1
TIOGA,36107,0500000US36107,9231.215647921761,143.91408914078076,98.58272271500192,-76.27680894999997,42.13909970000001,1
TOMPKINS,36109,0500000US36109,10158.363199558897,255.43345734755383,213.97661434741386,-76.47203221428572,42.391879357142855,1
ULSTER,36111,0500000US36111,10526.380189925092,81.810002420316,162.3256600014232,-74.12042932,41.83001132,1
WARREN,36113,0500000US36113,8531.646552117734,477.2062800530849,75.79099140665551,-73.79495633333333,43.58958074999999,1
WASHINGTON,36115,0500000US36115,8695.010756770438,449.1520154151005,76.05572800115499,-73.37080219444445,43.51082802777778,1
WAYNE,36117,0500000US36117,8494.21895661818,506.8350176162567,155.29536458937116,-77.03415922857144,43.24084242857143,1
WESTCHESTER,36119,0500000US36119,9135.321716170782,2013.366521214692,2204.6759581881533,-73.73681947916667,41.0406100625,1
WYOMING,36121,0500000US36121,8519.696358676314,2455.160159976584,71.11767186840996,-78.2203703,42.613238,1
YATES,36123,0500000US36123,12769.571563831467,1503.417577929799,74.96303306322825,-77.12135327272728,42.62103418181818,1
